"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"C","Miles Plumlee",3000,"Mil@Tor 07:30PM ET",4.467,"Mil"
"PF","Jonas Jerebko",3000,"GS@Bos 07:30PM ET",8.511,"Bos"
"SG","Ian Clark",3000,"GS@Bos 07:30PM ET",6.750,"GS"
"C","Shayne Whittington",3000,"Mia@Ind 07:00PM ET",-1.000,"Ind"
"SF","Ryan Kelly",3000,"LAL@SA 09:30PM ET",11.821,"LAL"
"PF","Cory Jefferson",3000,"Por@Pho 09:30PM ET",4.500,"Pho"
"PG","Troy Daniels",3000,"Cha@Mem 08:00PM ET",3.813,"Cha"
"PG","Tim Frazier",3000,"Por@Pho 09:30PM ET",2.146,"Por"
"SG","Joe Harris",3000,"Cle@Orl 07:00PM ET",1.950,"Cle"
"C","Tibor Pleiss",3000,"OKC@Uta 09:00PM ET",1.688,"Uta"
"C","Tarik Black",3000,"LAL@SA 09:30PM ET",9.844,"LAL"
"SF","Anthony Brown",3000,"LAL@SA 09:30PM ET",2.500,"LAL"
"SF","Josh Huestis",3000,"OKC@Uta 09:00PM ET",0,"OKC"
"PG","Kendall Marshall",3000,"Det@Phi 07:00PM ET",0,"Phi"
"SF","Reggie Bullock",3000,"Det@Phi 07:00PM ET",1.604,"Det"
"PG","Russ Smith",3000,"Cha@Mem 08:00PM ET",3.705,"Mem"
"SG","Joe Ingles",3000,"OKC@Uta 09:00PM ET",7.563,"Uta"
"C","Boban Marjanovic",3000,"LAL@SA 09:30PM ET",6.114,"SA"
"SF","Devyn Marble",3000,"Cle@Orl 07:00PM ET",0.950,"Orl"
"PF","Adreian Payne",3000,"Min@Den 09:00PM ET",8.589,"Min"
"SG","Joe Young",3000,"Mia@Ind 07:00PM ET",3.036,"Ind"
"PG","Marcelo Huertas",3000,"LAL@SA 09:30PM ET",11.295,"LAL"
"PG","Ray McCallum",3000,"LAL@SA 09:30PM ET",3.682,"SA"
"PG","Bryce Cotton",3000,"Por@Pho 09:30PM ET",0,"Pho"
"SF","Pat Connaughton",3000,"Por@Pho 09:30PM ET",1.042,"Por"
"SG","Darrun Hilliard",3000,"Det@Phi 07:00PM ET",5.300,"Det"
"PG","Spencer Dinwiddie",3000,"Det@Phi 07:00PM ET",9.094,"Det"
"SF","Michael Kidd-Gilchrist",3000,"Cha@Mem 08:00PM ET",0,"Cha"
"PF","Johnny O'Bryant",3000,"Mil@Tor 07:30PM ET",8.905,"Mil"
"SG","Josh Richardson",3000,"Mia@Ind 07:00PM ET",4.375,"Mia"
"PF","James Michael McAdoo",3000,"GS@Bos 07:30PM ET",4.000,"GS"
"PF","Rakeem Christmas",3000,"Mia@Ind 07:00PM ET",0,"Ind"
"SG","Norman Powell",3000,"Mil@Tor 07:30PM ET",3.250,"Tor"
"PF","Jarnell Stokes",3000,"Mia@Ind 07:00PM ET",1.250,"Mia"
"C","Lucas Nogueira",3000,"Mil@Tor 07:30PM ET",10.417,"Tor"
"SF","Kostas Papanikolaou",3000,"Min@Den 09:00PM ET",3.768,"Den"
"SG","R.J. Hunter",3000,"GS@Bos 07:30PM ET",6.536,"Bos"
"PF","Richaun Holmes",3000,"Det@Phi 07:00PM ET",10.729,"Phi"
"SG","Jordan Adams",3000,"Cha@Mem 08:00PM ET",9.500,"Mem"
"SF","Glenn Robinson III",3000,"Mia@Ind 07:00PM ET",8.917,"Ind"
"PF","Mitch McGary",3000,"OKC@Uta 09:00PM ET",3.792,"OKC"
"SG","Archie Goodwin",3000,"Por@Pho 09:30PM ET",8.455,"Pho"
"SF","Anthony Bennett",3000,"Mil@Tor 07:30PM ET",4.000,"Tor"
"PG","Delon Wright",3000,"Mil@Tor 07:30PM ET",1.125,"Tor"
"PF","Jarell Martin",3000,"Cha@Mem 08:00PM ET",0,"Mem"
"PF","Jordan Mickey",3000,"GS@Bos 07:30PM ET",6.125,"Bos"
"PF","Christian Wood",3000,"Det@Phi 07:00PM ET",8.604,"Phi"
"PG","Terry Rozier",3000,"GS@Bos 07:30PM ET",3.911,"Bos"
"PG","Tyler Ennis",3000,"Mil@Tor 07:30PM ET",7.972,"Mil"
"PF","Noah Vonleh",3000,"Por@Pho 09:30PM ET",8.033,"Por"
"SG","James Young",3000,"GS@Bos 07:30PM ET",3.417,"Bos"
"PG","Aaron Harrison",3000,"Cha@Mem 08:00PM ET",2.625,"Cha"
"PG","Cameron Payne",3000,"OKC@Uta 09:00PM ET",4.125,"OKC"
"C","Joel Embiid",3000,"Det@Phi 07:00PM ET",0,"Phi"
"PG","Dante Exum",3000,"OKC@Uta 09:00PM ET",0,"Uta"
"SF","Bruno Caboclo",3000,"Mil@Tor 07:30PM ET",0.000,"Tor"
"SF","Damien Inglis",3000,"Mil@Tor 07:30PM ET",4.800,"Mil"
"SF","Damjan Rudez",3000,"Min@Den 09:00PM ET",4.438,"Min"
"SG","Mario Hezonja",3000,"Cle@Orl 07:00PM ET",6.475,"Orl"
"PG","Tyus Jones",3000,"Min@Den 09:00PM ET",2.875,"Min"
"PF","Cliff Alexander",3000,"Por@Pho 09:30PM ET",3.833,"Por"
"SF","Kelly Oubre Jr.",3000,"Was@NO 08:00PM ET",4.365,"Was"
"PF","Kevon Looney",3000,"GS@Bos 07:30PM ET",0,"GS"
"SF","Luis Montero",3000,"Por@Pho 09:30PM ET",2.125,"Por"
